Serial # & Vote Code (Commitment),Serial # & Vote Code (Plaintext),Serial # & Vote Code (Decommitment),Print Check (Commitment),Print Check (Plaintext),Print Check (Decommitment),Possible Vote (Commitment),Possible Vote (Plaintext),Possible Vote (Decommitment),Marked As Voted (Commitment),Marked As Voted (Plaintext),Marked As Voted (Decommitment),Pre-draw Summand A  (Commitment),Pre-draw Summand A  (Plaintext),Pre-draw Summand A  (Decommitment),Pre-draw Summand B  (Commitment),Final Summand A (Commitment),Final Summand B (Commitment)
fA44ywwEPu/+QZqudi9m1BkOQK5i58kO7iI42J3AucQ=,#616b 6090,VuPosDB//PJAot1cLxLCCMPS6W/Zf+ODiKAifE/x3FM=,vl4ZCjFXOQOxnmRu8HtGwRbnzbinJl7/SoLo3ryP0UA=,#616b 6090,/j7C5z4SPap3vhTdcOBujbpimaiLVV3OsZPSMugKIv0=,XnwlDD/QZMETUfdNtryw5vh/1WYovSicXuqpAkes8l0=,,,vmOhLAOem1k5Hud0ueMiVc0WzTdlZIjO+gvMSQB4yv8=,,,EZpca83j6/O5QzWqo04DqX5uvHdxQ4KSnDtBjhPuAJk=,,,f/HV/pIE2xWk3JPQ5ZbE6Hn2La+E113M31szSTRUSQk=,zceK6aFCI+vb7WjFOHJbQbpjnLDVXLAMfXWyxu5jlm8=,kv8IyWTSSiMNsTg2c93IzQlln3Qbt+mZb2p8O7+uKkU=
gWZTiPPnZrID51QQbaPVAhavXOC37aardL1FdSTPzo8=,#541b 5017,pA0SZgD9AFeFcEJW9cu+QK6eMOofQ56390VJY2z3Bmc=,MTPnndIDfZIahz2xFq7m+vNdRTZ+tm0HSU5YbCxCST4=,Not checked,JHbJ1epRhi7AgzY3ZAOcHkd2a/492kVkwPiAJ2zmmoo=,Q1Fm87/Gn9mnQZaPkfWSyLOTRuHoYx/uG9HHa9Wjz24=,,,Ic8plfC5hNIm1JoAEcjHtnHGl94GpzAf+YgI3UG9VOs=,,,3j8kyDqLQBFgVvIwecZgtQCvF8KpzwWwd+z2SatQygI=,,,3ThAsQarFaOplYHw7sEHvkBaVvTNtWdrZWSGs71ACoM=,4mPDMG0EHKyuOfpw83Mfr6Da0kvfDFir6W8BUeCXcqY=,a1AN6w7HqOOuc5fj/y7anCMxtQK7oJdpgHm48ffBBR4=
xo4UtGFXAitYRBgcF+aiowLa25vbpncCwyOmLCS+6Tk=,#134b 9294,9ovKcFH2NxiEQs0YTyfZTTBQBZca+Z8Lw0bYmK3m5q8=,ehn2C8xcXhLhjC7fPZWIxYUF5rOsGt/j6F5OpWFZLrw=,Not checked,LbyJ2QDD1L5n9mPIoUVOMPoyGab/LZhOhu2T/ZzCQIo=,oVfr6Wn9FJLeI35blxxGaDbZwTD8DS5exCX9WYpthpw=,,,ET0fjQu9QBGco2LvlB7Q4yc5naNX4LOJcGaLYoSaNVg=,,,j3jTHBgPsgLDEMp9n7X6E0s6tqio+XCkDEMIDP01zzA=,,,m87736MwEN7ampYjej7hZNQ94RidsjxyVaId/jDuuPM=,VuOWvTPT60G9NtELI9idknMvDGFiJ7oh69VKzQxbQ0Y=,wTPy1JHAS1KAQaPoLHRGg80ntB0JXPWXIbZC8FqWxYw=
YLF6IsQ9AO7bJRMSNTB6y5APNDvS0hHMAKJMUiD149g=,#993a 4545,pz5sdOBgYeaS+CQSACyEvZIsllMHS/avv58dt+QYZgQ=,rwu+DL9IeLEWMvHzrUAIPxvV83nJ9odKXRWt6LPoDpw=,#993a 4545,Mi4zdfqsIEghSQ+jrn1ENvDGcSrwxegCl9rnbt3lVQw=,6VTbdxNdGC7zWTPN/rapDBq1tbTuvJ17NJe+syWjuXM=,,,hq0aa6XxvdjQstlJyg9pzm5fxKdB0WyoULbEUw5JVYk=,,,Rj72pFQ7JuLg04lj2PM9DKwbpDZFos74ux6lunQHuJU=,,,C6v7IVQ6IqnBczHLaEWKZFtNzL7jVIMGPCq3XHN1W9I=,z+Yp9Yt5lvppAKhP1HAaRwCPV3EghlY1P/YI2wq66Qg=,uwNgI7AaiLjwxVDnbGcQP9vYb9iiM/ntpknEc2DqV5A=
eNlguwpyFVy0SXRJrQ37xrUbIUkfbIzq4Ia9w8szxI4=,#811b 2306,ys1ng2e3ESowtKGLb8W/ct7Tpb/ZbHrxeoU1BtWtobA=,XAvt0ULJsAPpqephdNTVUHGHRdwJ0Mr8w3NIawO7cdE=,#811b 2306,GqJrrrF73abg4U7chWV/IF9pVxSb+IEMSqbvCrzUpek=,2hbbxy6NPVvAZ4G95NTP4656Kma2MdqLOUBoNOuQ6eE=,,,sna8InH0pxCX5gq7Hq4NyBZaB4AddEmUbJ2BXj6Nw7w=,,,znQFWaOzMmq4aSY7PJxjnU2eLu0JjfepK40GLgQZUTw=,,,cQnJAtuM8p4tp/PNIcVA/j9saambFfeMRuhpJGYoUxE=,5O6QLuRiqrEgALF04/93SSnYOk+X9c3wUxo8cOHnziE=,tZzOFt1B6msQbayY591/YtzcdTE5/oy72CHKqsNLXUQ=
mg5hqgjOSUFBLrCi54/jWitQwehxKQr3bpoCJg/x5/A=,#459b 9940,hUfIk79+uvpfKI+vIkPCiIrShnVchKW9VZJfOmN/4Wc=,p6C3rDWVUo7KAQYYLnkliLA570OeFldmPluf/LJmm7w=,#459b 9940,UjiDj6X2xTFr6gwd/hCNiledPWGZM032gmiOyl7qnOA=,Dgwp6bX4mRAQGtXPU1n1j6Eq0s1l7CU9rZCnrcqU79o=,,,F3/P7HkNb8WKSLAp5ZlltC9NfvuJBKfaLwZynBK1Byo=,,,0iAPgx1e5GZEsMLjFjnLTOdBkDyQZk9Q9cmze63w5Ds=,,,j5iw4ZSEeVtaOvyIB0DPMthmQuzY3Us1iTa8PqXHIyw=,i6IFoZImGS5E0o86Mtjf94xs5WsFRnuseVZIvvmvCNM=,5Oj2YVyvqn+e99gBvnXMZ9LKvINEfbww84fX1nS3m+4=
PCrtS7ZRHKMqF6co5X5Z1hR4cdn+X3MgFSo9YDy2eLk=,#320a 7834,hIV5hp7DAW/pTYh7j38Uz/3CdMbodiKeX9UwYJLbBPI=,LCkW6u0G6bUVv/0mdgbok11Xhomp1UzYFodqoxU1M8E=,Not checked,3LNemmqk+27AmwBx30jgJygLKvbOrOTky9eDHczl34s=,gcG8t4AKVWh9WMXG8gOTR7sRjSzHtAl0S1rDqdm8rI0=,,,fJywrTneUU4uJuhgyN5t8FUGEm0MvTWDrdZds6+EW0s=,,,mlmBYBld/fV0YNqgqrPw8Vl/2/qVkEDJU7lLlhGYVmM=,,,1+Y/aijsC0WdVMVLMmndTUkOMPrgdDbX2T7KBy9rBOE=,3QJ4FxvTIGVUSGRizZfko5LbqS5uyQu+9aIZCpf/ZKs=,6kTekrReuTVdgnRrseOABPX7gFYwm/p6yfmnfcF7Tdc=
e4OJIisahx1xU7+HOcyAWL6SC12Zku26EB2Ros+L1Zg=,#368a 6184,iubKT9/dFNuwPDHhBxxixxC1nFJi001m5Wz26HXfa5A=,WzdC7Ir9+4RNMMY4JGxM5roXr2AKXDQkXD5utg2h3eI=,Not checked,3TiUGgHGPp/+iiuWkLLoeMjFkrBcBhBpf/8/1//jgXM=,LRFpaHVoMt/yzm9suMkMIT8S5Wmo705uD3glwm/haKY=,,,z9ZmyGnLAbSGDQS72PyOvlZuM8EKtAVTDSA+cGABpPw=,,,e99PJIDvEbxojIC0+NwNU7jd/eEfRhooNEdteP681TI=,,,VVt3TBX0pc/e26fL5zsA8ROvfWMOcTre/x7axa9N3Ho=,CxaP1hJUqicHpKaGedgMqf9g92WCFT8i6RUQ+bORDIE=,PUEs2Mh3KW5xEIt/K1Bwvap/+SC8gPoyy7u8RGk2Qbk=
2+eFajOH2guDqfX6WliOkgQbebDk7Z2+rWRaaHt3Rjg=,#654a 9513,lkVi5SOZMV0FGSEUv4ABX486dcz3pHsWoGxUAKe2hbk=,8PE9QKa27GdauUcj8YaU89qpJFMVaAvLJLrJ4iW7pbs=,Not checked,xplTyssgqvzsNwuAxBa9TBDUsT35qs9jddrSOEBkHH0=,txEnvsIjhjbchx2NLRiaMVA3tQJz5ncIxMGi7sZt0Xw=,,,Gm/eW5xwnaiKUf6CvGo+4wZZswxy4BqP7gOfT185SnU=,,,VNrbsFnVsBkm4SkYfgL+ZAQeQe909rn9uME3VaTQ84A=,,,jWvjFyXm6SYf10Ba8b3YhPCTU6T0PbnMqhEmZFD6AwQ=,qre1in1Jq29pTN7eXtOQqjOo5s4tCJy3H9tO5I9SLu0=,08hMtY3C4W4zsLqtZeUPxQyUe99AdfDJv7HJ+5Ckfvc=
uZuLbqnWHZhLyU0GaSsXw6OmNjL+qdnlFgRBxlJaoMY=,#460a 9728,jYVTOR1+cWEZ7DH/d0F55AlCmvT5LKFfhPaLSnPACpc=,dQioCueWcw+vRiDpOv2PqAfOYfAevzJpl5iqNGSj0ck=,Not checked,5vCaooBH4IrsANGMQ5PcRI/qJELZe1VfF69BOvc7YI4=,uMZkAs0RWSj43uUBAT3euPlI7hVRIYEqc08kb6BQoOw=,,,qmgSZriWD1/Vzau9O9P94eefK58X7TUjfCa1G5huV6o=,,,DEM+FJeFC+IQyeOe0SlPTw66UCusAbz1/GX9ebjGOVw=,,,+2AuK2CGwbH6rufa8+QkMG9Kir41Mv6AVWkMIZh/ZGQ=,pJ66lzyaVRHFSbyO//qe1EvU0akHdRke7Vsx/8MxqjU=,Sk6Dh7sZG5JeeuBvgRqmUtUsw2OmAjXNrUvT8A3fJS8=
